Name;Position;Team ;Games Played;Minutes;Points;Field Goal%;3Point%;FreeThrow%;Assists;Blocks;Steals;Rebounds;Turnovers;Salary
Jabari Parker;PF;MIL;31;742;391;48.19;38.27;74.07;59;10;25;151;45;$6,782,392 (143)
Langston Galloway;SG;DET;58;863;360;37.06;34.40;80.49;58;5;35;92;18;$6,666,667 (144)
Lance Thomas;SF;NYK;73;1,353;298;38.20;40.32;83.02;44;14;30;175;40;$6,655,325 (145)
Ed Davis;PF;POR;78;1,47;414;58.22;0.00;66.67;40;52;32;575;66;$6,352,531 (146)
Jonathon Simmons;SF;ORL;69;2,029;962;46.52;33.82;76.76;171;17;57;240;146;$6,300,000 (147)
Lonzo Ball;PG;LAL;52;1,78;528;35.99;30.51;45.07;376;43;88;360;136;$6,286,560 (148)
Wayne Ellington;SG;MIA;77;2,04;864;40.71;39.21;85.90;79;8;53;218;52;$6,270,000 (149)
Isaiah Thomas;PG;LAL;33;870;486;37.29;29.26;89.31;153;3;15;67;95;$6,261,395 (150)
Karl-Anthony Towns;C;MIN;82;2,918;1,743;54.57;42.11;85.82;199;115;64;1,013;160;$6,216,840 (151)
Ben Simmons;PG;PHI;81;2,732;1,279;54.45;0.00;56.01;661;70;140;659;278;$6,168,840 (152)
Joel Embiid;C;PHI;63;1,911;1,445;48.34;30.84;76.87;199;111;40;690;234;$6,100,266 (153)
Shelvin Mack;PG;ORL;69;1,364;473;43.00;34.53;71.13;272;9;54;165;89;$6,000,000 (154)
Dewayne Dedmon;C;ATL;62;1,542;617;52.41;35.46;77.91;90;51;40;489;86;$6,000,000 (154)
Ishmael Smith;PG;DET;82;2,042;894;48.56;34.65;69.83;360;20;64;224;108;$6,000,000 (154)
Milos Teodosic;PG;LAC;45;1,134;429;41.94;37.93;84.78;209;5;23;126;97;$6,000,000 (154)
Wesley Johnson;SF;LAC;74;1,485;403;40.76;33.90;74.14;61;62;77;215;55;$5,881,260 (158)
Tyler Johnson;SG;MIA;72;2,052;843;43.46;36.73;82.17;165;34;60;248;81;$5,881,260 (158)
Alex Abrines;SG;OKC;75;1,134;353;39.52;38.01;84.78;28;8;38;114;25;$5,725,000 (160)
Jayson Tatum;SF;BOS;80;2,437;1,112;47.54;43.39;82.56;128;58;83;401;115;$5,645,400 (161)
D'Angelo Russell;PG;BKN;48;1,233;743;41.43;32.37;74.05;249;17;36;189;147;$5,562,360 (162)
Brandon Ingram;SF;LAL;59;1,974;949;47.04;39.05;68.09;230;43;45;314;150;$5,519,400 (163)
Patrick Beverley;PG;LAC;11;333;134;40.34;40.00;82.35;32;5;19;45;25;$5,513,513 (164)
Aaron Gordon;PF;ORL;58;1,909;1,022;43.35;33.63;69.78;136;45;59;457;107;$5,504,420 (165)
Thabo Sefolosha;SF;UTH;38;805;312;49.17;38.10;81.48;33;12;52;161;30;$5,250,000 (166)
Jason Smith;PF;WAS;33;284;113;39.13;12.50;90.48;14;13;3;53;16;$5,225,000 (167)
Ben McLemore;SG;MEM;56;1,089;422;42.09;34.59;82.81;51;15;38;139;61;$5,200,000 (168)
Patrick Patterson;PF;OKC;82;1,27;318;39.85;38.60;86.96;57;23;49;193;33;$5,192,000 (169)
Josh Jackson;SF;PHX;77;1,959;1,012;41.74;26.27;63.44;120;35;80;351;146;$5,090,040 (170)
Dirk Nowitzki;PF;DAL;77;1,9;927;45.65;40.95;89.81;120;44;43;438;51;$5,000,000 (171)
Mike Muscala;PF;ATL;53;1,06;405;45.83;37.13;91.94;51;27;31;230;42;$5,000,000 (171)
Greg Monroe;C;BOS;51;1,041;524;56.48;0.00;73.95;114;23;44;350;95;$5,000,000 (171)
Marcus Morris;PF;BOS;54;1,447;734;42.88;36.75;80.52;72;12;35;289;65;$5,000,000 (171)
Jahlil Okafor;C;BKN;28;353;176;55.80;25.00;72.41;12;18;3;85;21;$4,995,120 (175)
Dante Exum;PG;UTH;14;234;114;48.28;27.78;80.65;43;3;8;26;20;$4,992,385 (176)
Jaylen Brown;SG;BOS;70;2,151;1,017;46.45;39.54;64.38;114;26;70;348;124;$4,956,480 (177)
Justin Holiday;SG;CHI;72;2,265;876;37.08;35.86;82.32;153;31;80;291;93;$4,615,385 (178)
De'Aaron Fox;PG;SAC;73;2,025;844;41.15;30.72;72.31;320;20;70;204;173;$4,609,200 (179)
Marcus Smart;PG;BOS;54;1,613;550;36.70;30.12;72.93;259;23;71;189;129;$4,538,020 (180)
Kristaps Porzingis;PF;NYK;48;1,553;1,088;43.87;39.30;79.27;57;115;36;316;93;$4,503,600 (181)
Dragan Bender;PF;PHX;82;2,07;531;38.64;36.65;76.47;130;53;22;361;113;$4,468,800 (182)
Devin Harris;PG;DEN;71;1,339;595;41.19;34.80;83.53;152;12;47;127;76;$4,402,546 (183)
Aron Baynes;C;BOS;81;1,484;482;47.09;14.29;75.64;93;51;22;433;80;$4,328,000 (184)
Jamal Crawford;SG;MIN;80;1,653;822;41.51;33.12;90.27;185;9;40;99;95;$4,328,000 (184)
Ron Baker;SG;NYK;29;384;71;33.90;33.33;74.07;47;6;26;30;18;$4,328,000 (184)
Nerlens Noel;C;DAL;29;471;131;52.38;0.00;75.00;20;22;31;168;26;$4,187,598 (187)
Alex Len;C;PHX;69;1,395;587;56.61;33.33;68.40;82;61;27;519;78;$4,187,598 (187)
Jonathan Isaac;PF;ORL;27;535;145;37.93;34.78;76.00;18;29;33;99;27;$4,186,320 (189)
Lance Stephenson;SG;IND;82;1,849;757;42.74;28.88;66.14;235;17;46;424;132;$4,180,000 (190)
Julius Randle;PF;LAL;82;2,19;1,323;55.75;22.22;71.76;210;45;43;654;213;$4,149,242 (191)
Kyle O'Quinn;C;NYK;77;1,386;550;58.49;23.53;77.17;158;98;35;470;100;$4,087,500 (192)
Mario Hezonja;SG;ORL;75;1,656;722;44.25;33.71;81.90;106;30;81;281;87;$4,078,320 (193)
Kris Dunn;PG;CHI;52;1,525;699;42.94;32.09;73.68;310;27;104;221;151;$4,046,760 (194)
Jonas Jerebko;PF;UTH;74;1,133;429;46.63;41.40;80.70;42;12;24;246;27;$4,000,000 (195)
Nemanja Bjelica;PF;MIN;67;1,37;454;46.09;41.53;80.00;86;16;50;274;52;$3,949,999 (196)
Jose Barea;PG;DAL;69;1,602;801;43.91;36.74;78.43;434;3;35;201;143;$3,903,900 (197)
Lauri Markkanen;PF;CHI;68;2,02;1,033;43.39;36.16;84.34;79;40;40;508;83;$3,821,640 (198)
Nik Stauskas;SG;BKN;41;523;181;38.96;40.00;72.41;39;4;9;64;26;$3,807,147 (199)
Willie Cauley-Stein;C;SAC;73;2,044;932;50.19;23.08;61.94;172;67;77;511;109;$3,704,160 (200)
Buddy Hield;SG;SAC;80;2,024;1,079;44.59;43.14;87.65;155;22;85;307;124;$3,675,480 (201)
Will Barton;SG;DEN;81;2,682;1,268;45.19;36.88;80.53;331;51;82;409;149;$3,533,333 (202)
Noah Vonleh;PF;CHI;54;875;264;44.44;30.30;62.07;34;17;19;311;31;$3,505,233 (203)
Frank Ntilikina;PG;NYK;78;1,705;463;36.40;31.85;72.06;250;18;66;177;131;$3,501,120 (204)
Nene Hilario;C;HOU;52;758;340;56.90;0.00;63.55;45;14;28;177;39;$3,477,600 (205)
Zaza Pachulia;C;GSW;69;971;373;56.65;0.00;80.65;109;17;38;321;73;$3,477,600 (205)
Troy Daniels;SG;PHX;79;1,62;703;40.35;39.96;87.50;48;5;26;127;56;$3,408,520 (207)
Emmanuel Mudiay;PG;NYK;64;1,243;553;38.86;31.97;75.97;206;11;41;152;113;$3,381,480 (208)
Jamal Murray;PG;DEN;81;2,565;1,352;45.10;37.84;90.51;274;29;79;297;171;$3,355,320 (209)
Elfrid Payton;PG;PHX;63;1,808;797;49.33;32.61;64.88;393;22;83;274;168;$3,332,340 (210)
Rajon Rondo;PG;NOP;65;1,704;537;46.76;33.33;54.35;533;10;70;263;151;$3,300,000 (211)
Doug McDermott;SF;DAL;81;1,767;630;46.65;42.59;79.01;79;16;19;200;56;$3,294,994 (212)
Tyreke Evans;SG;MEM;52;1,607;1,01;45.24;39.86;78.47;269;17;57;265;117;$3,290,000 (213)
Jodie Meeks;SG;WAS;77;1,118;487;39.95;34.29;86.32;70;4;29;126;37;$3,290,000 (213)
Anthony Tolliver;PF;DET;79;1,756;703;46.40;43.56;79.70;90;21;32;241;57;$3,290,000 (213)
Dennis Smith Jr.;PG;DAL;69;2,049;1,048;39.45;31.27;69.43;358;18;71;260;194;$3,218,280 (216)
Zach LaVine;SG;CHI;24;655;401;38.31;34.15;81.31;72;4;24;94;43;$3,202,218 (217)
Ekpe Udoh;C;UTH;63;809;162;50.00;0.00;75.00;53;74;43;150;20;$3,200,000 (218)
T.J. Warren;SF;PHX;65;2,141;1,271;49.72;22.22;75.69;85;41;65;333;84;$3,152,931 (219)
Stanley Johnson;SF;DET;69;1,893;599;37.50;28.63;77.24;112;14;95;252;77;$3,097,800 (220)
Marquese Chriss;PF;PHX;72;1,526;556;42.35;29.47;60.76;83;70;51;396;107;$3,073,800 (221)
Zach Collins;C;POR;66;1,045;292;39.66;30.97;64.29;52;31;17;221;59;$3,057,240 (222)
James Ennis;SF;DET;72;1,603;512;47.40;33.33;83.62;71;18;47;224;57;$3,028,410 (223)
Tomas Satoransky;SG;WAS;73;1,642;524;52.34;46.53;78.13;286;15;51;232;83;$3,000,000 (224)
Lucas Nogueira;C;TOR;49;417;122;61.25;26.32;67.86;22;43;23;87;16;$2,947,305 (225)
Jusuf Nurkic;C;POR;79;2,088;1,132;50.47;0.00;63.00;143;111;64;708;183;$2,947,305 (225)
Malik Monk;SG;CHA;63;853;421;36.00;34.16;84.21;91;9;20;66;49;$2,904,480 (227)
Frank Kaminsky;PF;CHA;79;1,835;873;42.88;37.96;79.90;129;21;36;288;65;$2,847,600 (228)
Jakob Poeltl;C;TOR;82;1,522;567;65.89;50.00;59.41;57;100;39;394;85;$2,825,640 (229)
Luke Kennard;SG;DET;73;1,462;558;44.40;41.54;85.53;124;13;44;176;69;$2,759,280 (230)
Justise Winslow;SF;MIA;68;1,68;529;42.42;37.69;63.46;148;33;54;370;77;$2,705,040 (231)
Michael Carter-Williams;PG;CHA;52;834;239;33.19;23.73;82.02;116;23;45;138;54;$2,700,000 (232)
Thon Maker;C;MIL;74;1,237;356;41.14;29.81;69.89;46;53;38;225;44;$2,684,160 (233)
Cedi Osman;SF;CLE;61;672;238;48.39;36.78;56.52;41;3;22;120;32;$2,634,921 (234)
Donovan Mitchell;SG;UTH;79;2,637;1,616;43.69;34.00;80.47;291;27;118;296;217;$2,621,280 (235)
Myles Turner;C;IND;65;1,836;828;47.89;35.67;77.67;87;118;38;417;96;$2,569,920 (236)
Gary Harris;SG;DEN;67;2,305;1,17;48.46;39.59;82.72;194;15;122;176;119;$2,550,055 (237)
Domantas Sabonis;C;IND;74;1,812;861;51.44;35.14;75.00;151;32;40;572;137;$2,550,000 (238)
Reggie Bullock;SF;DET;62;1,731;698;48.90;44.48;79.59;95;13;47;154;47;$2,500,000 (239)
Edrice Adebayo;C;MIA;69;1,368;477;51.18;0.00;72.07;101;41;32;381;67;$2,490,360 (240)
Trey Lyles;PF;DEN;73;1,39;724;49.09;38.07;70.63;91;34;30;346;61;$2,441,400 (241)
Dario Saric;PF;PHI;78;2,309;1,141;45.33;39.35;85.99;202;20;51;521;148;$2,422,560 (242)
Taurean Prince;SF;ATL;82;2,463;1,158;42.56;38.51;84.44;214;42;84;389;192;$2,422,560 (242)
Rodney Hood;SG;CLE;60;1,615;882;42.88;38.14;86.05;95;12;45;165;71;$2,386,864 (244)
Justin Jackson;SF;SAC;68;1,505;453;44.15;30.81;72.22;74;13;28;187;40;$2,365,560 (245)
Shabazz Napier;PG;POR;74;1,535;644;42.00;37.61;84.06;150;14;81;170;90;$2,361,360 (246)
Clint Capela;C;HOU;74;2,034;1,026;65.24;0.00;56.03;68;138;58;802;103;$2,334,528 (247)
Devin Booker;SG;PHX;54;1,865;1,346;43.17;38.28;87.84;253;14;47;243;194;$2,319,360 (248)
Dante Cunningham;PF;BKN;73;1,561;417;45.05;34.52;59.62;48;30;39;298;34;$2,300,000 (249)
Guerschon Yabusele;PF;BOS;33;235;79;42.62;32.43;68.18;16;5;4;52;12;$2,247,480 (250)
Cameron Payne;PG;CHI;25;581;221;40.47;38.46;75.00;113;9;26;69;36;$2,203,440 (251)
Denzel Valentine;SG;CHI;77;2,094;783;41.75;38.65;74.51;244;11;65;393;100;$2,186,400 (252)
Kyle Anderson;SF;SAS;74;1,978;585;52.74;33.33;71.23;202;59;115;396;94;$2,151,704 (253)
DJ Wilson;PF;MIL;22;71;21;56.25;40.00;50.00;3;1;3;10;4;$2,135,040 (254)
Darius Miller;SF;NOP;82;1,943;637;44.35;41.06;86.57;111;17;28;164;59;$2,100,000 (255)
Kelly Oubre;SF;WAS;81;2,23;953;40.25;34.15;81.97;98;35;80;363;90;$2,093,040 (256)
Juan Hernangomez;PF;DEN;25;277;82;38.67;28.00;83.33;12;3;6;54;9;$2,076,840 (257)
TJ Leaf;PF;IND;53;457;156;47.06;42.86;62.50;9;4;5;82;10;$2,028,360 (258)
Tim Frazier;PG;WAS;59;837;176;39.53;30.36;76.67;194;7;47;115;57;$2,000,000 (259)
Terry Rozier;PG;BOS;80;2,068;900;39.50;38.06;77.18;232;19;80;376;80;$1,988,520 (260)
John Collins;PF;ATL;74;1,785;777;57.61;34.04;71.51;98;80;47;541;105;$1,936,920 (261)
Sam Dekker;SF;LAC;73;882;303;49.42;16.67;66.07;38;9;24;174;33;$1,794,600 (262)
Terrance Ferguson;SG;OKC;61;763;189;41.42;33.33;90.00;19;10;24;47;11;$1,785,000 (263)
Henry Ellenson;PF;DET;38;328;151;36.30;33.33;86.21;20;0;5;81;18;$1,780,800 (264)
Jerian Grant;PG;CHI;74;1,686;619;41.55;32.62;74.47;342;8;64;172;89;$1,713,840 (265)
Jarrett Allen;C;BKN;72;1,441;587;58.94;33.33;77.55;49;88;28;388;82;$1,713,720 (266)
Malik Beasley;SG;DEN;62;586;196;41.01;34.15;66.67;31;7;15;71;24;$1,700,640 (267)
Delon Wright;PG;TOR;69;1,433;555;46.53;36.60;82.91;200;33;72;198;78;$1,645,200 (268)
Ante Zizic;C;CLE;32;214;119;73.13;0.00;72.41;5;13;2;60;11;$1,645,200 (268)
OG Anunoby;SF;TOR;74;1,481;438;47.11;37.06;62.90;55;14;52;184;45;$1,645,200 (268)
Caris LeVert;SG;BKN;71;1,864;858;43.54;34.69;71.12;299;22;82;260;153;$1,632,480 (271)
Justin Anderson;SG;PHI;38;519;236;43.07;33.01;73.68;25;7;15;92;16;$1,579,440 (272)
DeAndre' Bembry;SF;ATL;26;455;136;41.41;36.67;57.58;49;12;21;72;47;$1,567,200 (273)
Joe Harris;SG;BKN;78;1,974;846;49.11;41.90;82.69;128;20;35;260;91;$1,524,305 (274)
Jerami Grant;SF;OKC;81;1,647;682;53.51;29.09;67.50;57;78;31;318;55;$1,524,305 (274)
Glen Robinson III;SG;IND;23;338;95;42.35;41.18;81.82;17;1;13;37;5;$1,524,305 (274)
Spencer Dinwiddie;PG;BKN;80;2,305;1,007;38.66;32.56;81.34;524;24;68;258;129;$1,524,305 (274)
Bobby Portis;PF;CHI;73;1,642;964;47.10;35.87;76.92;123;23;49;498;103;$1,516,320 (278)
Malachi Richardson;SG;TOR;26;323;89;33.33;30.00;77.27;13;1;10;34;10;$1,504,560 (279)
Raymond Felton;PG;OKC;82;1,364;565;40.58;35.22;81.82;203;16;49;155;75;$1,471,382 (280)
Mike Scott;PF;WAS;76;1,405;668;52.67;40.49;65.79;80;10;23;247;79;$1,471,382 (280)
Jeff Green;SF;CLE;78;1,827;846;47.66;31.18;86.75;99;34;41;247;74;$1,471,382 (280)
Luc Richard Mbah a Moute;PF;HOU;61;1,563;460;48.12;36.42;68.42;55;25;72;186;69;$1,471,382 (280)
Dwyane Wade;SG;MIA;67;1,536;765;43.84;28.83;71.43;228;47;61;252;140;$1,471,382 (280)
Udonis Haslem;PF;MIA;14;71;8;20.00;12.50;50.00;5;2;0;10;2;$1,471,382 (280)
Jose Calderon;PG;CLE;57;914;255;50.27;46.39;80.00;117;2;27;84;41;$1,471,382 (280)
JaVale McGee;C;GSW;65;614;310;62.10;0.00;73.08;33;57;21;169;27;$1,471,382 (280)
Ian Clark;SG;NOP;74;1,454;551;44.85;31.79;76.27;110;10;33;128;57;$1,471,382 (280)
Michael Beasley;SF;NYK;74;1,653;976;50.74;39.53;77.99;123;43;36;413;143;$1,471,382 (280)
Richaun Holmes;PF;PHI;48;745;311;56.02;12.90;66.07;61;29;20;211;25;$1,471,382 (280)
Josh Richardson;SF;MIA;81;2,689;1,045;45.08;37.80;84.51;231;75;121;285;138;$1,471,382 (280)
Rondae Hollis-Jefferson;SF;BKN;68;1,92;946;47.24;24.07;78.80;167;48;65;459;121;$1,471,382 (280)
Norman Powell;SG;TOR;70;1,062;385;40.11;28.49;82.05;89;16;37;119;66;$1,471,382 (280)
Tyus Jones;PG;MIN;82;1,466;416;45.73;34.88;87.65;232;6;95;132;59;$1,471,382 (280)
Raul Neto;PG;UTH;41;498;183;45.70;40.43;74.29;75;4;13;49;36;$1,471,382 (280)
Pat Connaughton;SG;POR;82;1,487;441;42.31;35.24;84.09;91;22;23;161;44;$1,471,382 (280)
Nikola Jokic;C;DEN;75;2,441;1,385;50.00;39.64;84.98;459;61;90;802;210;$1,471,382 (280)
Jarell Martin;PF;MEM;73;1,66;565;44.56;34.69;76.72;73;49;39;318;86;$1,471,382 (280)
Montrezl Harrell;PF;LAC;76;1,292;836;63.50;14.29;62.61;74;52;36;307;68;$1,471,382 (280)
Kevon Looney;SF;GSW;66;909;267;58.03;20.00;54.55;42;56;34;215;31;$1,471,382 (280)
Larry Nance Jr.;PF;CLE;66;1,42;573;58.11;16.67;66.42;82;38;89;452;51;$1,471,382 (280)
